        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,
5300    ,4600    ,5200    ,8600    ,5000    ,1000    ,6600    ,4700    ,4200    ,7000    ,5000    ,7300    ,7000    ,8000    ,4800    ,1000    ,2660    ,2600    ,3200    ,5400    ,5500    ,2300    ,2750    ,1850    ,2300    ,2850    ,4500    ,6600    ,6600    ,2810    ,1600    ,2900    ,2600    ,7100    ,        ,        ,1000    ,3700    ,        ,        ,5400    ,3200    ,5400    ,3200    ,3200    ,        ,        ,5.7     ,7.5     ,4.8     ,4.8     ,5.7
8000    ,8900    ,2500    ,3725    ,5200    ,1000    ,3600    ,2600    ,2500    ,4670    ,8100    ,5300    ,6300    ,2500    ,2600    ,1000    ,1800    ,2500    ,2500    ,3000    ,4100    ,6900    ,3500    ,2100    ,6900    ,2850    ,6600    ,4500    ,4500    ,2875    ,2850    ,2850    ,3000    ,3100    ,        ,        ,660     ,3800    ,        ,        ,4600    ,2500    ,5300    ,2500    ,2500    ,        ,        ,5.4     ,5.7     ,5.4     ,5.4     ,5.4
51441115,51443500,51442113,51172100,51171300,51348400,51441100,51172311,51578800,51442115,51443300,51443315,51573915,51579200,51445500,51578600,51578000,51671813,63138000,51444582,51444500,51444580,65131100,65131300,51444511,51172382,51178400,51178000,51443911,51178600,51442123,51348000,23111111,23111300,25118200,25118400,23112500,25131700,25131900,51442141,51543115,63130000,51171700,51172500,51172384,25118700,51441111,51446100,51448700,51446300,51446500,51449600
51441115,51443500,51442113,51172100,51171300,51348400,51441100,51172311,51578800,51442115,51443300,51443315,51573915,51579200,51445500,51578600,51578000,51671813,63138000,51444582,51444500,51444580,65131100,65131300,51444511,51172382,51178400,51178000,51443911,51178600,51442123,51348000,23111111,23111300,25118200,25118400,23112500,25131700,25131900,51442141,51543115,63130000,51171700,51172500,51172384,25118700,51441111,51446100,51448700,51446300,51446500,51449600
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0,0,0,0,0,0,0,        ,        ,0,0,        ,        ,0,        ,0,0,0,0,0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
